opeid6,level,sector,hbcu,completion_rate_150,share_outstanding_ug_5,cdr3_wgtd,pct25_earn_wne_p10,est_fte,white_share,black_share,hisp_share,asian_share,aian_share,nhpi_share,twomore_share,nra_share,unkn_share
1002,Four-year,Public 4-year,1,0.2685,1.295500757,0.1365546,17800,5943,0.0186,0.912,0.0088,0.0018,0.0022,0.0016,0.0118,0.007,0.0361
1003,Four-year,Nonprofit 4-year,0,0.27939999,1.182662868,0.07485,21300,2702,0.4238,0.481,0.0178,0.0053,0.0024,0.0038,0.0221,0.0241,0.0197
1004,Four-year,Public 4-year,0,0.49169999,1.064660052,0.0416684,20400,2369,0.6726,0.1666,0.0542,0.0107,0.0036,0.0018,0.0391,0.0275,0.024
1005,Four-year,Public 4-year,1,0.3001,1.307391549,0.15925349,15600,4234,0.0167,0.9352,0.0095,0.0041,0.0013,0.0005,0.0102,0.0102,0.0123
1007,Two-year,Public 2-year,0,0.2832,1.154031125,0.041238401,16100,1165,0.725,0.2337,0.0239,0.0041,0.0041,0,0.0058,0.0017,0.0017
1009,Four-year,Public 4-year,0,0.78119999,0.795660713,0.0114084,32700,27968,0.8078,0.055,0.0342,0.0236,0.0038,0.0005,0.0225,0.049,0.0036
1012,Four-year,Nonprofit 4-year,0,0.68000001,0.819164408,0.021921599,26900,1321,0.7858,0.1391,0.0213,0.0253,0.0032,0,0.0119,0.0119,0.0016
1013,Two-year,Public 2-year,0,0.229,0.986238903,0.035968799,14700,6567,0.6533,0.1779,0.0643,0.0201,0.014,0.0002,0.0527,0.0089,0.0085
1015,Two-year,Public 2-year,0,0.1884,0.933904124,0.0271901,16900,1331,0.6399,0.2325,0.0583,0.015,0.011,0.0039,0.0339,0,0.0055
1016,Four-year,Public 4-year,0,0.4571,1.005633162,0.066873997,23400,6303,0.734,0.1441,0.0305,0.0064,0.008,0.0003,0.0279,0.0373,0.0115
1017,Two-year,Public 2-year,1,0.2133,0,0,14100,3644,0.7056,0.1905,0.0388,0.0063,0.0058,0.0007,0.0294,0.0219,0.001
1018,Two-year,Public 2-year,0,0.2483,0,0,14200,3304,0.6188,0.3057,0.036,0.0112,0.0043,0.0011,0.0206,0,0.0024
1019,Four-year,Nonprofit 4-year,0,0.42910001,1.064203036,0.069540799,25900,990,0.6503,0.2171,0.0557,0.0093,0.0074,0.0009,0.0417,0.0009,0.0167
1020,Four-year,Public 4-year,0,0.42469999,1.122052824,0.062994398,21000,6977,0.7183,0.1866,0.0084,0.0067,0.0055,0.0005,0,0.0189,0.0551
1022,Two-year,Public 2-year,0,0.096900001,0.902320653,0.0251988,16300,5727,0.6353,0.2337,0.0529,0.0174,0.004,0.0009,0.0311,0.0242,0.0004
1023,Four-year,Nonprofit 4-year,0,0.34670001,1.046723716,0.1202538,13600,261,0.6988,0.2008,0.0232,0.0039,0.0232,0.0039,0.0039,0,0.0425
1024,Four-year,Public 4-year,0,0.3123,1.222744876,0.054053999,22900,4274,0.4326,0.4312,0.0191,0.0033,0.0042,0.0005,0.0274,0.0497,0.0321
1028,Four-year,Nonprofit 4-year,1,0.2421,1.301006832,0.1027305,15300,1604,0.033,0.9483,0.0078,0,0.0006,0,0.0097,0,0.0006
1029,Four-year,Nonprofit 4-year,0,0.50440001,1.144784736,0.0621408,22300,1461,0.5796,0.2519,0.0193,0.0162,0.0216,0.0062,0.034,0.044,0.027
1030,Two-year,Public 2-year,1,0.2166,0,0,13600,2209,0.2418,0.6635,0.0246,0.0246,0.0074,0.0008,0.0164,0.0164,0.0045
1031,Two-year,Public 2-year,0,0.4465,0.81959295,0.0090629,15000,2027,0.8148,0.0187,0.1145,0.0035,0.0283,0.0005,0.0182,0.0015,0
1033,Four-year,Nonprofit 4-year,1,0.47549999,1.240263678,0.072435997,15500,1535,0.0057,0.8279,0.051,0.0038,0.0051,0,0,0.0676,0.0389
1036,Four-year,Nonprofit 4-year,0,0.76359999,0.75286041,0.0096367,31700,4506,0.851,0.0638,0.0329,0.0105,0.0014,0.0003,0.0233,0.0128,0.004
1038,Two-year,Public 2-year,0,0.37009999,0.740565152,0.044608001,14800,2012,0.7035,0.0897,0.1448,0.0096,0.031,0.0021,0,0.0107,0.0085
1040,Two-year,Public 2-year,0,0.26710001,1.006136155,0.0326754,16700,3749,0.7029,0.223,0.0276,0.0135,0.0022,0.0007,0.0165,0.0037,0.0098
1041,Four-year,Nonprofit 4-year,0,0.58639997,0.9728134,0.046745699,27400,1363,0.6637,0.1558,0.0319,0.0112,0.0056,0.0024,0.0447,0.0471,0.0375
1044,Four-year,Nonprofit 4-year,1,0.28760001,1.294662843,0.21325921,16000,892,0.0566,0.8462,0.0029,0,0.0015,0,0,0,0.0929
1046,Four-year,Nonprofit 4-year,1,0.2353,1.259514906,0.19413351,12200,1268,0.0281,0.851,0.0406,0.0025,0.0033,0.0008,0.0215,0.043,0.0091
1047,Four-year,Public 4-year,0,0.42789999,1.195522276,0.061279401,22400,13020,0.5247,0.3122,0.0374,0.0075,0.005,0.0017,0.03,0.0456,0.0359
1050,Four-year,Nonprofit 4-year,1,0.4242,1.2009443,0.064043999,20200,3049,0.004,0.8454,0.0087,0.0071,0.0016,0.0186,0.002,0,0.1127
1051,Four-year,Public 4-year,0,0.71880001,0.924908865,0.0197013,29000,35653,0.7774,0.0999,0.0499,0.0116,0.0035,0.001,0.0338,0.0183,0.0045
1052,Four-year,Public 4-year,0,0.58289999,1.06623896,0.0292239,26300,18641,0.5717,0.2553,0.0334,0.0633,0.0034,0.0002,0.0457,0.0213,0.0058
